# Image Pairs Configuration
# Format: prompt	method_a	method_b	image_a_url	image_b_url	mask_url	identity_url
# Lines starting with # are comments and will be ignored
# You can use full URLs or relative paths to images in the static folder

a gardener, a robin, a wheelbarrow, a flower pot, a rake, a garden bench, and a watering can — on farmyard with muddy ground	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example11_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example11_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example11_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example11_ids.png
a steward, a horse, a carpet, a shield, a throne, an anvil, and a chest — in lavish palace chamber	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example12_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example12_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example12_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example12_ids.png
a photographer, a cat, a trash bin, a rope, a map, a bench, and a compass — in woodshop with shavings on the floor	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example13_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example13_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example13_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example13_ids.png
a landscaper, a fox, a trowel, a planter box, a rake, a flower pot, and a hose reel — on stone castle courtyard	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example14_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example14_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example14_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example14_ids.png
a singer, a parrot, a stool, an amplifier, a microphone, a workbench, and a canvas — in attic art studio with skylight	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example15_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example15_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example15_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example15_ids.png
a cowboy, a horse, a lasso, a saddle, a compass, an artifact tablet, a rifle - on desert canyon ranch	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example16_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example16_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example16_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example16_ids.png
a farmer, a pig, a shovel, a bucket, a barn, a pitchfork, a cart - on farmyard with muddy ground	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example17_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example17_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example17_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example17_ids.png
a student, a cat, a book, a ruler, a globe, a desk, and a whiteboard — in bright classroom with large windows	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example18_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example18_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example18_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example18_ids.png
an illustrator, a cat, a workbench, an easel, a tripod, a spotlight, and a tool cart — in sunlit art studio with wooden floors	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example19_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example19_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example19_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example19_ids.png
a chamberlain, a cat, a candelabra, a vase, a pedestal, a cabinet, and a mirror — in lavish palace chamber	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example20_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example20_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example20_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example20_ids.png
a farmer, a lizard, a walking stick, a water trough, a hay bale, a backpack, and a map — on tournament field with wooden stands	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example21_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example21_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example21_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example21_ids.png
an actor, a parrot, a piano, a curtain, a stool, an easel, and a music stand — in studio with skylight windows	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example22_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example22_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example22_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example22_ids.png
a singer, a cat, a canvas, a curtain, a workbench, a music stand, and a tripod — in concert hall with polished wood stage	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example23_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example23_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example23_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example23_ids.png
a person, a dog, a cello, a crate, a compass, a map, and a piano — in intimate jazz club with brick walls	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example24_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example24_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example24_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example24_ids.png
a knight, a warhorse, a shield, a sword, a torch, a barrel, a banner - on medieval tournament grounds	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example25_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example25_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example25_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example25_ids.png
a sailor, a parrot, a rope, an anchor, a barrel, a map, a compass - on wooden deck of a tall ship	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example26_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example26_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example26_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example26_ids.png
an engineer, a cat, a star chart, a telescope, a monitor, a workbench, and a blueprint — in car repair garage with concrete floor	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example27_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example27_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example27_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example27_ids.png
a knight, a cat, a torch, a mirror, a shield, a banner, and a fountain — on medieval tournament grounds	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example28_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example28_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example28_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example28_ids.png
a conductor, a cat, a cello, an amplifier, a music stand, a microphone, and a piano — in intimate jazz club with brick walls	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example29_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example29_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example29_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example29_ids.png
a painter, a canary, a canvas, a stool, a spotlight, a tool cart, and a workbench — in fashion studio with patterned walls	Method-A	Method-B	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example30_ia.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example30_prec.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example30_masks.png	https://matzen-adobe.s3.us-west-2.amazonaws.com/incoming/osaha/viz_hs/viz_20251114-123108/images/example30_ids.png
